,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
245,Andreu Fontàs\0f138d5a,es ESP,DF,Sporting KC,31,1989,33,0,14,3,21.4,0.42,0.09,0,0,11.7,0,0,0,1.9,1.9,0.14,-1.9,-1.9,Matches
246,Franco Fragapane\09538c47,ar ARG,FWMF,Minnesota Utd,27,1993,17,5,28,10,35.7,1.65,0.59,0.18,0.5,13.3,0,0,1,6.1,5.4,0.19,-1.1,-0.4,Matches
247,Waylon Francis\a3a1849f,cr CRC,DF,Columbus Crew,30,1990,14.9,0,1,0,0,0.07,0,0,,15.6,0,0,0,0,0,0.02,0,0,Matches
248,Alan Franco\a548281c,ar ARG,DF,Atlanta Utd,24,1996,22.4,0,13,3,23.1,0.58,0.13,0,0,10.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
249,Przemysław Frankowski\00a8d210,pl POL,FWMF,Chicago Fire,25,1995,11.8,2,27,8,29.6,2.29,0.68,0.07,0.25,15.3,0,0,0,3.9,3.9,0.14,-1.9,-1.9,Matches
250,Liam Fraser\d784062b,ca CAN,MF,Columbus Crew,22,1998,12.7,0,5,3,60,0.4,0.24,0,0,20,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
251,Liam Fraser\d784062b,ca CAN,MF,Toronto FC,22,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
252,Matt Freese\2f49476c,us USA,GK,Philadelphia,22,1998,5.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
253,Stefan Frei\1d0a0f3e,ch SUI,GK,Seattle,34,1986,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
254,Alejandro Fuenmayor\77edb7ec,ve VEN,DF,Houston Dynamo,24,1996,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
255,McKinze Gaines\8ef72983,us USA,FW,Austin FC,22,1998,2.4,1,5,3,60,2.12,1.27,0.2,0.33,14.5,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
256,Jon Gallagher\9d5afdfb,ie IRL,FWMF,Austin FC,24,1996,14.1,3,23,8,34.8,1.63,0.57,0.13,0.38,11.1,0,0,0,4.1,4.1,0.18,-1.1,-1.1,Matches
257,Pedro Gallese\b76e1394,pe PER,GK,Orlando City,30,1990,22,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
258,Braian Galván\bbfbd4d3,ar ARG,DFMF,Colorado Rapids,20,2000,13.4,2,18,9,50,1.35,0.67,0.11,0.22,22.3,1,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
259,Boniek García\889ce425,hn HON,DFMF,Houston Dynamo,36,1984,7.9,0,5,0,0,0.64,0,0,,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
260,Bruno Gaspar\55ae91f0,ao ANG,DF,Vancouver,27,1993,9.9,1,5,2,40,0.51,0.2,0.2,0.5,18.1,0,0,0,1,1,0.19,0,0,Matches
261,Chase Gasper\7371ec36,us USA,DF,Minnesota Utd,25,1996,29.2,1,21,2,9.5,0.72,0.07,0.05,0.5,16.5,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
262,Ryan Gauld\862e93c2,sct SCO,MFFW,Vancouver,25,1995,14.5,4,37,19,51.4,2.55,1.31,0.11,0.21,16.5,2,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
263,Dániel Gazdag\527d0e31,hu HUN,MFFW,Philadelphia,24,1996,14.8,4,33,12,36.4,2.23,0.81,0.09,0.25,14.3,0,1,1,5.6,4.9,0.15,-1.6,-1.9,Matches
264,Kieran Gibbs\46ee5234,eng ENG,DF,Inter Miami,31,1989,7.7,1,7,2,28.6,0.91,0.26,0.14,0.5,17.1,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
265,Carles Gil\11c30a46,es ESP,MF,New England,28,1992,25.4,4,53,19,35.8,2.09,0.75,0.06,0.16,20.2,9,1,1,5.3,4.6,0.09,-1.3,-1.6,Matches
266,José Antonio Martínez Gil\8e049cbd,es ESP,DF,FC Dallas,27,1993,16.7,0,8,2,25,0.48,0.12,0,0,16.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
267,Gastón Giménez\ab66cc31,py PAR,MF,Chicago Fire,29,1991,21.7,2,35,11,31.4,1.61,0.51,0.06,0.18,26.5,1,0,0,1.3,1.3,0.04,+0.7,+0.7,Matches
268,Francisco Ginella\5a28a782,uy URU,MF,Los Angeles FC,22,1999,9.8,0,10,4,40,1.02,0.41,0,0,20.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
269,Justen Glad\5b768b0f,us USA,DF,Real Salt Lake,23,1997,31,2,15,5,33.3,0.48,0.16,0.13,0.4,8.8,0,0,0,1.4,1.4,0.1,+0.6,+0.6,Matches
270,Jakob Glesnes\ac65aef3,no NOR,DF,Philadelphia,26,1994,34,3,21,5,23.8,0.62,0.15,0.14,0.6,17.4,3,0,0,1.3,1.3,0.06,+1.7,+1.7,Matches
271,Chris Gloster\01cd3c12,us USA,DF,NYCFC,20,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
272,Marcus Godinho\27854bf6,ca CAN,DF,Vancouver,23,1997,1.3,0,1,0,0,0.78,0,0,,17.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
273,Aníbal Godoy\2d496ca3,pa PAN,MF,Nashville,30,1990,22.4,0,12,3,25,0.53,0.13,0,0,19.3,0,0,0,1,1,0.09,-1,-1,Matches
274,Erik Godoy\e8b80334,ar ARG,DF,Vancouver,27,1993,14.5,1,6,1,16.7,0.41,0.07,0.17,1,9.3,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
275,Yeimar Gómez Andrade\e43c8d72,co COL,DF,Seattle,28,1992,29.6,1,19,3,15.8,0.64,0.1,0.05,0.33,9,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
276,Leandro González Pirez\5ba1112c,ar ARG,DF,Inter Miami,28,1992,29.5,0,18,5,27.8,0.61,0.17,0,0,11.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
277,Omar Gonzalez\0d2fe665,us USA,DF,Toronto FC,32,1988,25.5,3,10,5,50,0.39,0.2,0.3,0.6,7.6,0,0,0,1.4,1.4,0.14,+1.6,+1.6,Matches
278,Samuel Grandsir\d2448564,fr FRA,FWMF,LA Galaxy,24,1996,23.1,3,58,19,32.8,2.51,0.82,0.05,0.16,17.4,0,0,0,5.2,5.2,0.09,-2.2,-2.2,Matches
279,Tayvon Gray\c839e1b2,us USA,DF,NYCFC,18,2002,4.2,0,3,1,33.3,0.71,0.24,0,0,15.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
280,Gregore\49815f34,br BRA,MF,Inter Miami,26,1994,28.2,0,8,3,37.5,0.28,0.11,0,0,24.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
281,Ján Greguš\7d974435,sk SVK,MF,Minnesota Utd,30,1991,8.6,0,12,1,8.3,1.4,0.12,0,0,21.6,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
282,Julian Gressel\acd47bc0,de GER,DF,D.C. United,27,1993,29.9,2,47,11,23.4,1.57,0.37,0.04,0.18,23,8,0,0,3.2,3.2,0.07,-1.2,-1.2,Matches
283,Adam Grinwis\0d3f30b9,us USA,GK,Orlando City,28,1992,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
284,Sami Guediri\e3dc71a7,us USA,DF,Inter Miami,23,1997,2.3,0,2,0,0,0.86,0,0,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
285,Jack Gurr\2ade3d9e,eng ENG,DF,Atlanta Utd,25,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
286,Brian Gutiérrez\d88f31db,us USA,FWMF,Chicago Fire,17,2003,6.7,0,15,4,26.7,2.25,0.6,0,0,19.7,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
287,Cristián Gutiérrez\6e56a4f2,cl CHI,DF,Vancouver,23,1997,17.2,0,4,0,0,0.23,0,0,,29.3,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
288,Andrew Gutman\b7a23251,us USA,DF,NY Red Bulls,24,1996,20.4,2,15,4,26.7,0.74,0.2,0.13,0.5,17.6,0,0,0,1,1,0.07,+1.0,+1.0,Matches
289,Brad Guzan\d899e3bf,us USA,GK,Atlanta Utd,36,1984,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
290,Joe Gyau\3511b4f8,us USA,DFFW,FC Cincinnati,28,1992,18.5,0,11,3,27.3,0.6,0.16,0,0,22.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
291,Luke Haakenson\77d28e45,us USA,MFFW,Nashville,23,1997,4,2,12,6,50,2.98,1.49,0.17,0.33,13.3,0,0,0,1.8,1.8,0.15,+0.2,+0.2,Matches
292,Kamron Habibullah\4deda098,ca CAN,MFFW,Vancouver,17,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
293,Teenage Hadebe\582952f2,zw ZIM,DF,Houston Dynamo,25,1995,16.5,0,7,0,0,0.42,0,0,,10.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
294,Nick Hagglund\39632554,us USA,DF,FC Cincinnati,28,1992,18.6,1,15,4,26.7,0.81,0.22,0.07,0.25,8.8,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
295,Marlon Hairston\1d531c57,us USA,MF,Columbus Crew,26,1994,14.4,0,9,2,22.2,0.62,0.14,0,0,12.6,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches
296,Siad Haji\9212f1cb,so SOM,FWMF,San Jose,21,1999,0.5,0,2,0,0,3.67,0,0,,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
297,Michael Halliday\6ad5f50e,us USA,DF,Orlando City,18,2003,4.2,0,2,0,0,0.47,0,0,,13.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
298,Niko Hämäläinen\4435db1e,fi FIN,DF,LA Galaxy,23,1997,12.7,0,7,1,14.3,0.55,0.08,0,0,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
299,Ahmed Hamdi\fc7c8d3d,eg EGY,MF,CF Montréal,22,1998,9.9,2,17,5,29.4,1.72,0.51,0.12,0.4,17.7,0,0,0,1.4,1.4,0.09,+0.6,+0.6,Matches
300,Bill Hamid\012fc030,us USA,GK,D.C. United,30,1990,20.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
301,Niko Hansen\9bebd450,dk DEN,MFFW,Minnesota Utd,26,1994,5,1,11,4,36.4,2.21,0.8,0.09,0.25,13.6,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
302,Cameron Harper\4a78c769,us USA,FWDF,NY Red Bulls,19,2001,1.1,0,1,0,0,0.9,0,0,,15,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
303,Nathan Harriel\b3edbeff,us USA,DF,Philadelphia,19,2001,2,0,1,1,100,0.5,0.5,0,0,5,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
304,Calvin Harris\07b0aeef,eng ENG,MFFW,FC Cincinnati,20,2000,5,0,6,4,66.7,1.19,0.79,0,0,20.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
305,Wilson Harris\ca0756aa,us USA,FW,Sporting KC,21,1999,2,0,3,2,66.7,1.52,1.01,0,0,16.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
306,Carlos Harvey\3f18600c,pa PAN,MF,LA Galaxy,20,2000,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
307,Jordan Harvey\bb78f8a5,us USA,DF,Los Angeles FC,37,1984,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
308,Thomas Hasal\86bac87b,ca CAN,GK,Vancouver,21,1999,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
309,Jacori Hayes\d2173b7b,us USA,MF,Minnesota Utd,25,1995,5.8,0,4,1,25,0.69,0.17,0,0,23.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
310,Héber\d552c4a1,br BRA,FW,NYCFC,29,1991,1.1,0,4,3,75,3.6,2.7,0,0,14,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
311,Matt Hedges\5e2a4d0e,us USA,DF,FC Dallas,30,1990,16,1,10,1,10,0.63,0.06,0.1,1,9.8,0,0,0,1,1,0.1,0,0,Matches
312,Fabian Herbers\5cbf5ccd,de GER,MFFW,Chicago Fire,27,1993,20.3,0,34,7,20.6,1.67,0.34,0,0,19.2,0,0,0,2.6,2.6,0.08,-2.6,-2.6,Matches
313,Felipe Hernandez\31a4d0b8,us USA,MF,Sporting KC,22,1998,4.5,1,14,3,21.4,3.1,0.66,0.07,0.33,16.9,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
314,Javier Hernández\189cee7b,mx MEX,FW,LA Galaxy,32,1988,19.2,17,57,29,50.9,2.97,1.51,0.28,0.55,11.9,2,1,2,13.1,11.6,0.2,+3.9,+4.4,Matches
315,Ronald Hernández\de907bab,ve VEN,DF,Atlanta Utd,23,1997,7,1,8,1,12.5,1.14,0.14,0.13,1,18.5,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
316,Aaron Herrera\d86e3070,us USA,DF,Real Salt Lake,23,1997,27.9,1,23,5,21.7,0.83,0.18,0.04,0.2,24.2,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
317,Federico Higuaín\ef8fc24c,ar ARG,MFFW,Inter Miami,36,1984,9,3,15,5,33.3,1.67,0.56,0.2,0.6,18.8,2,0,0,1.4,1.4,0.1,+1.6,+1.6,Matches
318,Gonzalo Higuaín\8a08491a,ar ARG,FW,Inter Miami,33,1987,27.2,12,80,32,40,2.94,1.18,0.11,0.28,17.9,4,3,3,11.1,8.9,0.11,+0.9,+0.1,Matches
319,Brendan Hines-Ike\b807c1dc,us USA,DF,D.C. United,26,1994,11.7,1,9,2,22.2,0.77,0.17,0.11,0.5,14.1,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
320,Danny Hoesen\5ef1939b,nl NED,FW,Austin FC,30,1991,3.4,0,7,0,0,2.07,0,0,,6.7,0,0,0,1.4,1.4,0.2,-1.4,-1.4,Matches
321,Ian Hoffmann\c0243229,de GER,DF,Houston Dynamo,19,2001,2.8,0,1,0,0,0.36,0,0,,21.5,0,0,0,0,0,0.02,0,0,Matches
322,Ryan Hollingshead\28b58797,us USA,DF,FC Dallas,29,1991,29.6,3,26,7,26.9,0.88,0.24,0.12,0.43,14.5,0,0,0,2.8,2.8,0.11,+0.2,+0.2,Matches
323,Erik Holt\3677d047,us USA,DF,Real Salt Lake,24,1996,15.1,1,11,2,18.2,0.73,0.13,0.09,0.5,11.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
324,Adrien Hunou\d14229f3,fr FRA,FW,Minnesota Utd,27,1994,19,7,66,24,36.4,3.48,1.27,0.11,0.29,14.7,0,0,0,10.2,10.2,0.15,-3.2,-3.2,Matches
325,Erik Hurtado\b11e6f2b,us USA,FWMF,Columbus Crew,30,1990,3.3,0,6,1,16.7,1.83,0.31,0,0,14.8,0,0,0,1,1,0.16,-1,-1,Matches
326,Erik Hurtado\b11e6f2b,us USA,FW,CF Montréal,30,1990,3.2,0,7,2,28.6,2.2,0.63,0,0,14.6,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
327,Emerson Hyndman\3be1a627,us USA,MFFW,Atlanta Utd,24,1996,6.9,1,6,1,16.7,0.87,0.15,0.17,1,18.1,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Matches
328,Franco Ibarra\db6540c5,ar ARG,MF,Atlanta Utd,19,2001,8.7,0,4,2,50,0.46,0.23,0,0,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
329,Sebastien Ibeagha\41ba8175,us USA,DF,Los Angeles FC,29,1992,7.4,0,3,1,33.3,0.41,0.14,0,0,7.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
330,Sebastien Ibeagha\41ba8175,us USA,DF,NYCFC,29,1992,3.9,0,2,1,50,0.52,0.26,0,0,7.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
331,Sunusi Ibrahim\796994e5,ng NGA,FW,CF Montréal,18,2002,10.2,4,32,13,40.6,3.15,1.28,0.13,0.31,14.3,0,0,0,5.4,5.4,0.17,-1.4,-1.4,Matches
332,Milan Iloski\4f87c75f,us USA,FW,Real Salt Lake,21,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
333,Ilsinho\aa8683ae,br BRA,DFMF,Philadelphia,35,1985,0.9,0,2,0,0,2.17,0,0,,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
334,Arnór Ingvi Traustason\7d036b4a,is ISL,MFFW,New England,27,1993,16.1,2,31,9,29,1.92,0.56,0.06,0.22,15.6,1,0,0,3.8,3.8,0.12,-1.8,-1.8,Matches
335,Clint Irwin\c1205184,us USA,GK,Colorado Rapids,31,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
336,Nicolas Isimat-Mirin\14e8e9d7,fr FRA,DF,Sporting KC,29,1991,10.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
337,Aljaž Ivačič\4d6e50d8,si SVN,GK,Portland Timbers,27,1993,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
338,Stanislav Ivanov\0cafba94,bg BUL,FW,Chicago Fire,21,1999,5.8,0,7,2,28.6,1.22,0.35,0,0,14,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
339,Robin Jansson\8ca5c176,se SWE,DF,Orlando City,29,1991,26.9,3,13,4,30.8,0.48,0.15,0.23,0.75,22,0,0,0,1,1,0.08,+2.0,+2.0,Matches
340,Franco Jara\413cce14,ar ARG,FW,FC Dallas,32,1988,14,7,58,19,32.8,4.14,1.35,0.1,0.32,15.4,1,1,2,8.5,7,0.12,-1.5,-1,Matches
341,Andres Jasson\31d049b2,us USA,DFFW,NYCFC,19,2002,7.6,0,5,2,40,0.66,0.26,0,0,19.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
342,Cal Jennings\44f6672a,us USA,FW,Los Angeles FC,23,1997,1.4,0,4,2,50,2.79,1.4,0,0,15.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
343,Hector Jiménez\2dc1e90e,us USA,DF,Austin FC,32,1988,18,1,9,3,33.3,0.5,0.17,0.11,0.33,22.4,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
344,Bjørn Johnsen\02ee4c77,no NOR,FW,CF Montréal,29,1991,9.9,2,27,12,44.4,2.73,1.21,0.07,0.17,13,0,0,0,4,4,0.15,-2,-2,Matches
345,Sean Johnson\c164335e,us USA,GK,NYCFC,31,1989,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
346,Alistair Johnston\4fb17e20,ca CAN,DF,Nashville,22,1998,23.8,1,7,3,42.9,0.29,0.13,0.14,0.33,13.1,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
347,Ismaila Jome\26f559ba,us USA,DF,Portland Timbers,26,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
348,DeJuan Jones\10d1139c,us USA,DF,New England,23,1997,28.3,3,18,10,55.6,0.64,0.35,0.17,0.3,17.1,0,0,0,2.1,2.1,0.11,+0.9,+0.9,Matches
349,Derrick Jones\93c92d6c,us USA,MF,Houston Dynamo,23,1997,12.5,0,1,0,0,0.08,0,0,,29.1,0,0,0,0,0,0.02,0,0,Matches
350,Joevin Jones\fc23d956,tt TRI,DF,Inter Miami,29,1991,5.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
351,Jony\60665492,ar ARG,MFFW,Real Salt Lake,26,1994,9.9,1,20,5,25,2.02,0.51,0.05,0.2,22.4,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
352,Dejan Joveljić\95a24690,rs SRB,FW,LA Galaxy,21,1999,8,2,17,7,41.2,2.12,0.87,0.12,0.29,17.4,0,0,0,2,2,0.12,0,0,Matches
353,Judson\e1535f82,br BRA,MFDF,San Jose,27,1993,18.4,0,10,0,0,0.54,0,0,,26.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
354,Anderson Julio\f907a6a8,ec ECU,FWMF,Real Salt Lake,24,1996,11.4,8,34,14,41.2,2.98,1.23,0.24,0.57,14,0,0,0,7.1,7.1,0.21,+0.9,+0.9,Matches
355,Florian Jungwirth\f179c207,de GER,DFMF,San Jose,32,1989,12.1,0,4,3,75,0.33,0.25,0,0,11.5,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
356,Florian Jungwirth\f179c207,de GER,DF,Vancouver,32,1989,12.5,1,5,1,20,0.4,0.08,0.2,1,12.8,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
357,Sam Junqua\91981d97,us USA,DF,Houston Dynamo,24,1996,17.9,0,10,4,40,0.56,0.22,0,0,14.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
358,Brent Kallman\2b24702b,us USA,DF,Minnesota Utd,30,1990,14.2,2,10,3,30,0.71,0.21,0.2,0.67,7.9,0,0,0,1,1,0.1,+1.0,+1.0,Matches
359,Ola Kamara\e134351a,no NOR,FW,D.C. United,31,1989,20.2,19,54,23,42.6,2.68,1.14,0.19,0.43,16,0,9,10,16.3,8.7,0.16,+2.7,+1.3,Matches
360,Alec Kann\4a8af93c,us USA,GK,Atlanta Utd,30,1990,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
361,Johan Kappelhof\465015a5,nl NED,DFMF,Chicago Fire,30,1990,13.6,0,7,2,28.6,0.51,0.15,0,0,13.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
362,Wilfrid Kaptoum\d717630e,cm CMR,MFFW,New England,24,1996,9.9,1,10,2,20,1.01,0.2,0.1,0.5,22.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
363,Mark-Anthony Kaye\36a38acd,ca CAN,MF,Los Angeles FC,26,1994,8.4,0,8,2,25,0.95,0.24,0,0,12.1,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
364,Mark-Anthony Kaye\36a38acd,ca CAN,MFFW,Colorado Rapids,26,1994,12.2,1,19,7,36.8,1.56,0.58,0.05,0.14,15.3,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches
365,Aboubacar Keita\85fbf1e4,us USA,DF,Columbus Crew,20,2000,10.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
366,Jon Kempin\063adc5e,us USA,GK,D.C. United,27,1993,9.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
367,Henry Kessler\23c75879,us USA,DF,New England,22,1998,24.9,1,5,2,40,0.2,0.08,0.2,0.5,7.5,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Matches
368,Logan Ketterer\927c3059,us USA,GK,Portland Timbers,27,1993,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
369,Benjamin Kikanovic\fe11d61b,us USA,FW,San Jose,21,2000,8.9,4,19,6,31.6,2.15,0.68,0.21,0.67,12.2,0,0,0,3.1,3.1,0.16,+0.9,+0.9,Matches
