,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
617,C.J. Sapong\ef4e4c5d,us USA,FW,Nashville,32,1988,24.5,12,64,33,51.6,2.61,1.35,0.19,0.36,12.5,0,0,0,9.4,9.4,0.15,+2.6,+2.6,Matches
618,Rodrigo Schlegel\5bb02df4,ar ARG,DF,Orlando City,23,1997,17.5,0,8,4,50,0.46,0.23,0,0,10.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
619,Szabolcs Schön\d5ff481a,hu HUN,FW,FC Dallas,20,2000,10.6,0,21,3,14.3,1.99,0.28,0,0,17.8,0,0,0,2.7,2.7,0.13,-2.7,-2.7,Matches
620,Kyle Scott\1c24aacf,eng ENG,MF,FC Cincinnati,23,1997,1,0,1,1,100,0.98,0.98,0,0,11.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
621,Dante Sealy\620ae69c,us USA,FWMF,FC Dallas,17,2003,0.8,1,2,2,100,2.65,2.65,0.5,0.5,12.2,0,0,0,0.6,0.6,0.28,+0.4,+0.4,Matches
622,Eddie Segura\c70e3fe0,co COL,DF,Los Angeles FC,23,1997,14.3,0,7,1,14.3,0.49,0.07,0,0,12.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
623,Chris Seitz\8b388dd5,us USA,GK,D.C. United,33,1987,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
624,Amar Sejdic\43ca2019,us USA,MF,Atlanta Utd,24,1996,4.7,0,6,1,16.7,1.26,0.21,0,0,25.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
625,Amar Sejdic\43ca2019,us USA,MF,CF Montréal,24,1996,4.3,0,2,0,0,0.46,0,0,,25.8,0,0,0,0,0,0.02,0,0,Matches
626,Boris Sekulić\adf26bd4,sk SVK,DF,Chicago Fire,29,1991,25.6,2,11,5,45.5,0.43,0.2,0.18,0.4,15.3,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
627,Brandon Servania\4d825a2d,us USA,MF,FC Dallas,21,1999,10.5,0,14,4,28.6,1.34,0.38,0,0,23.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
628,Jacob Shaffelburg\339a2561,ca CAN,FWMF,Toronto FC,21,1999,11,3,30,13,43.3,2.72,1.18,0.1,0.23,16.8,0,0,0,4.2,4.2,0.14,-1.2,-1.2,Matches
629,Ryan Shawcross\285a3d44,eng ENG,DF,Inter Miami,33,1987,9.1,0,3,1,33.3,0.33,0.11,0,0,8.1,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
630,Brek Shea\adb6ae24,us USA,DFFW,Inter Miami,30,1990,18.6,2,16,9,56.3,0.86,0.48,0.13,0.22,11.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Matches
631,Khiry Shelton\f935709c,us USA,FW,Sporting KC,27,1993,24.8,3,25,10,40,1.01,0.4,0.12,0.3,12.8,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
632,Andre Shinyashiki\8c395868,br BRA,FWMF,Colorado Rapids,25,1995,15.9,4,45,17,37.8,2.83,1.07,0.09,0.24,14.5,0,0,0,5.8,5.8,0.13,-1.8,-1.8,Matches
633,Bobby Shuttleworth\4598ac94,us USA,GK,Chicago Fire,33,1987,23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
634,Marcelo Silva\b9596515,uy URU,DF,Real Salt Lake,31,1989,19,0,5,2,40,0.26,0.11,0,0,10.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
635,Luke Singh\9ae196a0,tt TRI,DF,Toronto FC,20,2000,5,1,2,2,100,0.4,0.4,0.5,0.5,6.5,0,0,0,0.8,0.8,0.4,+0.2,+0.2,Matches
636,Pablo Sisniega\550557e1,mx MEX,GK,Los Angeles FC,25,1995,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
637,Jack Skahan\9c07bdc7,us USA,MFDF,San Jose,22,1998,2.8,0,8,1,12.5,2.82,0.35,0,0,24.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
638,Drew Skundrich\51f50135,us USA,MFFW,D.C. United,25,1995,12.8,0,15,5,33.3,1.17,0.39,0,0,15.9,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
639,Gabriel Slonina\c55a846e,us USA,GK,Chicago Fire,16,2004,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
640,Brad Smith\c76c717c,au AUS,DF,Seattle,26,1994,18.1,3,20,5,25,1.11,0.28,0.15,0.6,16.6,0,0,0,2,2,0.1,+1.0,+1.0,Matches
641,Kimarni Smith\bbbb244b,eng ENG,FW,D.C. United,22,1998,1.1,0,1,0,0,0.9,0,0,,14.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
642,Kyle Smith\9e6b2ec3,us USA,DF,Orlando City,29,1992,19.9,1,14,5,35.7,0.7,0.25,0.07,0.2,16.7,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
643,Erik Sorga\02ba67a2,ee EST,FW,D.C. United,21,1999,2.8,0,2,0,0,0.72,0,0,,12.4,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
644,Santiago Sosa\f080dd22,ar ARG,MFDF,Atlanta Utd,21,1999,24.4,0,15,4,26.7,0.61,0.16,0,0,23.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
645,Yeferson Soteldo\bbb6c951,ve VEN,FW,Toronto FC,23,1997,19.3,3,43,14,32.6,2.23,0.73,0.07,0.21,20.1,6,0,2,5.9,4.4,0.1,-2.9,-1.4,Matches
646,Omar Sowe\310fd6d8,gm GAM,FW,NY Red Bulls,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
647,Dayne St. Clair\3f41d25f,ca CAN,GK,Minnesota Utd,23,1997,4,0,1,0,0,0.25,0,0,,14,0,0,0,0,0,0.04,0,0,Matches
648,Mason Stajduhar\f01df62c,us USA,GK,Orlando City,23,1997,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
649,Caleb Stanko\381e52af,us USA,MFDF,FC Cincinnati,27,1993,13,0,3,0,0,0.23,0,0,,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
650,Aedan Stanley\61cd3bcf,us USA,DF,Austin FC,21,1999,2.6,0,1,0,0,0.39,0,0,,26.5,0,0,0,0,0,0.01,0,0,Matches
651,Daniel Steres\17c03c76,us USA,DF,LA Galaxy,30,1990,12.6,0,8,2,25,0.63,0.16,0,0,6.9,0,0,0,1.3,1.3,0.16,-1.3,-1.3,Matches
652,Luka Stojanović\1a892191,rs SRB,MF,Chicago Fire,27,1994,15,8,45,17,37.8,3.01,1.14,0.18,0.47,16.5,3,0,0,5.6,5.6,0.12,+2.4,+2.4,Matches
653,Jared Stroud\5d018899,us USA,FWMF,Austin FC,24,1996,12.9,1,27,8,29.6,2.09,0.62,0.04,0.13,16.3,0,0,0,2.3,2.3,0.08,-1.3,-1.3,Matches
654,Aljaž Struna\b82c2982,si SVN,DF,CF Montréal,30,1990,15.9,1,4,1,25,0.25,0.06,0.25,1,8.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
655,Brad Stuver\6a1940d5,us USA,GK,Austin FC,29,1991,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
656,Quinn Sullivan\92f62cfe,us USA,FWMF,Philadelphia,16,2004,6,2,11,6,54.5,1.84,1,0.18,0.33,15.2,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Matches
657,Hunter Sulte\92823044,us USA,GK,Portland Timbers,18,2002,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
658,Ben Sweat\6937b1ac,us USA,DF,Austin FC,29,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
659,Ballou Tabla\018bd079,ca CAN,DFMF,CF Montréal,21,1999,0.2,0,2,0,0,8.57,0,0,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
660,Ismael Tajouri-Shradi\ef4249ff,ly LBY,FWMF,NYCFC,26,1994,13.7,7,44,14,31.8,3.22,1.02,0.16,0.5,18.3,4,0,0,4.8,4.8,0.11,+2.2,+2.2,Matches
661,Andrew Tarbell\c5487a34,us USA,GK,Austin FC,27,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
662,Amro Tarek\52c930c0,eg EGY,DF,NY Red Bulls,28,1992,9.6,0,5,1,20,0.52,0.1,0,0,7.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
663,D.J. Taylor\ed4dc7f4,us USA,DF,Minnesota Utd,23,1997,6.9,0,3,1,33.3,0.43,0.14,0,0,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
664,Russell Teibert\674befe9,ca CAN,MF,Vancouver,28,1992,26.8,1,10,1,10,0.37,0.04,0.1,1,23.1,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
665,Carlos Terán\324509e2,co COL,DF,Chicago Fire,20,2000,10.8,1,4,2,50,0.37,0.18,0.25,0.5,8.8,0,0,0,0.4,0.4,0.1,+0.6,+0.6,Matches
666,Tanner Tessmann\ac277993,us USA,MF,FC Dallas,19,2001,5,0,4,0,0,0.8,0,0,,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
667,Thiago\6adb0b79,br BRA,FW,NYCFC,20,2000,10.8,4,26,9,34.6,2.41,0.83,0.15,0.44,14.2,0,0,0,2.8,2.8,0.11,+1.2,+1.2,Matches
668,Tommy Thompson\5f6c69d8,us USA,DF,San Jose,25,1995,8.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
669,Anton Tinnerholm\0fe96099,se SWE,DF,NYCFC,29,1991,22.3,0,20,3,15,0.9,0.13,0,0,19.8,0,0,0,1,1,0.05,-1,-1,Matches
670,Donny Toia\d286f965,us USA,DF,Real Salt Lake,28,1992,14.7,0,15,3,20,1.02,0.2,0,0,17.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
671,John Tolkin\5e88c524,us USA,DFMF,NY Red Bulls,18,2002,22.1,1,21,4,19,0.95,0.18,0.05,0.25,26.1,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
672,Nouhou Tolo\0796512f,cm CMR,DF,Seattle,23,1997,16.2,0,5,0,0,0.31,0,0,,12.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
673,Erick Torres\b7f98460,mx MEX,FW,Atlanta Utd,28,1993,7,0,20,6,30,2.87,0.86,0,0,13.5,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
674,Joaquín Torres\c82dcb70,ar ARG,FWMF,CF Montréal,24,1997,21,4,37,14,37.8,1.76,0.67,0.11,0.29,20.4,1,0,0,3.7,3.7,0.1,+0.3,+0.3,Matches
675,Dantouma Toure\b5d2014f,gn GUI,FW,Colorado Rapids,16,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
676,Mason Toye\0aa41f67,us USA,FW,CF Montréal,22,1998,9.9,7,22,12,54.5,2.23,1.21,0.23,0.42,15.7,0,2,2,6.1,4.6,0.21,+0.9,+0.4,Matches
677,Wil Trapp\9bf9391c,us USA,MF,Minnesota Utd,28,1993,30.3,1,15,3,20,0.49,0.1,0.07,0.33,24.2,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
678,Auston Trusty\cddf767b,us USA,DF,Colorado Rapids,22,1998,33,1,18,5,27.8,0.55,0.15,0.06,0.2,12.9,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
679,Bill Tuiloma\bf547c54,nz NZL,DF,Portland Timbers,25,1995,20.1,1,21,6,28.6,1.05,0.3,0.05,0.17,13.8,4,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
680,Cole Turner\30ec7b37,us USA,DF,Philadelphia,19,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
681,Matt Turner\4a51ba65,us USA,GK,New England,26,1994,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
682,Ema Twumasi\9ca4b140,gh GHA,DF,FC Dallas,23,1997,18.9,0,7,1,14.3,0.37,0.05,0,0,21.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
683,Przemysław Tytoń\1fa85681,pl POL,GK,FC Cincinnati,34,1987,14.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
684,Victor Ulloa\e7056f05,us USA,MFDF,Inter Miami,28,1992,13.8,0,5,2,40,0.36,0.15,0,0,18.4,1,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
685,Maximiliano Urruti\6c8fb474,ar ARG,FW,Houston Dynamo,29,1991,24.9,7,79,28,35.4,3.17,1.13,0.09,0.25,18.2,3,0,0,6.7,6.7,0.09,+0.3,+0.3,Matches
686,Júnior Urso\b40424f1,br BRA,MF,Orlando City,31,1989,27.6,4,47,14,29.8,1.7,0.51,0.09,0.29,18.2,0,0,0,3.9,3.9,0.08,+0.1,+0.1,Matches
687,Zarek Valentin\f0d23e7b,pr PUR,DF,Houston Dynamo,29,1991,26.6,0,2,0,0,0.08,0,0,,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
688,Milton Valenzuela\82318d24,ar ARG,DF,Columbus Crew,22,1998,9.7,0,6,0,0,0.62,0,0,,20.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
689,Diego Valeri\31da63ad,ar ARG,MFFW,Portland Timbers,34,1986,13.7,2,34,10,29.4,2.49,0.73,0.03,0.1,20.7,3,1,2,4.2,2.7,0.08,-2.2,-1.7,Matches
690,Gustavo Vallecilla\2ce88662,ec ECU,DF,FC Cincinnati,21,1999,22.2,2,12,6,50,0.54,0.27,0.17,0.33,15.4,0,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
691,Florian Valot\ad454d78,fr FRA,MFFW,FC Cincinnati,27,1993,3.7,0,7,1,14.3,1.91,0.27,0,0,19,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
692,Florian Valot\ad454d78,fr FRA,MFDF,NY Red Bulls,27,1993,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
693,José Van Rankin\09ce2ebe,mx MEX,DF,Portland Timbers,27,1993,27.2,0,12,1,8.3,0.44,0.04,0,0,17.8,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
694,Freddy Vargas\3c1e61cf,ve VEN,FW,FC Dallas,21,1999,6,0,13,4,30.8,2.18,0.67,0,0,20.5,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
695,Obed Vargas\9cc1fde4,us USA,FW,Seattle,15,2005,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
696,Indiana Vassilev\04e195ee,us USA,FWMF,Inter Miami,19,2001,8.9,3,12,6,50,1.35,0.67,0.25,0.5,15.1,0,0,0,1.6,1.6,0.13,+1.4,+1.4,Matches
697,Brandon Vazquez\c570cf22,us USA,FW,FC Cincinnati,22,1998,9.5,4,27,11,40.7,2.86,1.16,0.15,0.36,13.7,2,0,0,4,4,0.15,0,0,Matches
698,Víctor Vázquez\6c564d36,es ESP,MFFW,LA Galaxy,34,1987,18.1,3,27,10,37,1.5,0.55,0.11,0.3,21.2,2,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches
699,Carlos Vela\e0cd04e0,mx MEX,FW,Los Angeles FC,31,1989,14.1,5,58,17,29.3,4.12,1.21,0.09,0.29,19,7,0,1,6.7,5.9,0.1,-1.7,-0.9,Matches
700,Matías Vera\fe529f25,ar ARG,MF,Houston Dynamo,25,1995,27.2,3,22,9,40.9,0.81,0.33,0.14,0.33,15.6,0,0,0,3.1,3.1,0.14,-0.1,-0.1,Matches
701,Kenneth Vermeer\22a94b80,nl NED,GK,FC Cincinnati,35,1986,18.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
702,Ranko Veselinović\366609b6,rs SRB,DF,Vancouver,21,1999,22.2,1,14,4,28.6,0.63,0.18,0.07,0.25,7.4,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
703,Jorge Villafaña\32337fb2,us USA,DF,LA Galaxy,31,1989,18.8,0,6,1,16.7,0.32,0.05,0,0,19.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
704,Alex Villanueva\c168f022,us USA,DFFW,Seattle,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
705,Sam Vines\2d6e535f,us USA,DF,Colorado Rapids,21,1999,8,1,5,2,40,0.63,0.25,0.2,0.5,15.7,0,0,0,0.8,0.8,0.15,+0.2,+0.2,Matches
706,Kai Wagner\fdc715d9,de GER,DF,Philadelphia,23,1997,31.5,3,33,7,21.2,1.05,0.22,0.09,0.43,24.2,4,0,0,1.1,1.1,0.03,+1.9,+1.9,Matches
707,Anton Walkes\8a062bba,eng ENG,DF,Atlanta Utd,23,1997,30.8,2,14,5,35.7,0.45,0.16,0.14,0.4,12.7,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
708,Rémi Walter\0984c5d5,fr FRA,MF,Sporting KC,25,1995,21,1,22,7,31.8,1.05,0.33,0.05,0.14,23.1,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
709,Victor Wanyama\e0900238,ke KEN,MF,CF Montréal,29,1991,26.2,2,29,10,34.5,1.11,0.38,0.03,0.1,18.9,0,1,1,2.8,2,0.07,-0.8,-1,Matches
710,Collen Warner\75babbce,us USA,MF,Colorado Rapids,32,1988,9.7,1,10,3,30,1.03,0.31,0.1,0.33,23.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
711,Taylor Washington\480d3bcc,us USA,DF,Nashville,27,1993,11.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
712,Joel Waterman\47ddcc22,ca CAN,DF,CF Montréal,25,1996,20.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
713,Patrick Weah\ae2ee5a5,lr LBR,FW,Minnesota Utd,17,2003,0.2,0,3,1,33.3,12.27,4.09,0,0,12.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
714,Quentin Westberg\5480ae05,us USA,GK,Toronto FC,34,1986,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
715,Brian White\54c948de,us USA,FW,Vancouver,24,1996,21.3,12,43,23,53.5,2.02,1.08,0.28,0.52,10.5,0,0,0,9.1,9.1,0.21,+2.9,+2.9,Matches
716,Brian White\54c948de,us USA,MFFW,NY Red Bulls,24,1996,2.2,0,2,1,50,0.93,0.46,0,0,13,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
717,Augustine Williams\8bb1c744,sl SLE,FW,LA Galaxy,23,1997,1,0,2,1,50,2.02,1.01,0,0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
718,Derrick Williams\c0a28fbd,ie IRL,DF,LA Galaxy,28,1993,18.5,0,14,5,35.7,0.76,0.27,0,0,10.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
719,Josh Williams\06098bfc,us USA,DF,Columbus Crew,32,1988,15.2,0,4,1,25,0.26,0.07,0,0,4.5,0,0,0,0.9,0.9,0.23,-0.9,-0.9,Matches
720,Eryk Williamson\e0364352,us USA,MF,Portland Timbers,23,1997,10.5,1,8,5,62.5,0.76,0.47,0.13,0.2,16.6,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
721,Joe Willis\467f09c8,us USA,GK,Nashville,32,1988,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
722,Danny Wilson\9cfe9254,sct SCO,DF,Colorado Rapids,29,1991,27.2,2,17,4,23.5,0.62,0.15,0.12,0.5,9,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
723,Owen Wolff\9edc70d6,us USA,MFFW,Austin FC,16,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
724,Tyler Wolff\0985c282,us USA,MFFW,Atlanta Utd,17,2003,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
725,Chris Wondolowski\37f46eda,us USA,FWMF,San Jose,38,1983,14,5,42,16,38.1,3,1.14,0.12,0.31,12.8,1,0,1,6.7,5.9,0.14,-1.7,-0.9,Matches
726,Bobby Wood\9853983f,us USA,FWMF,Real Salt Lake,28,1992,6.9,2,19,6,31.6,2.76,0.87,0.11,0.33,13.1,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
727,Vito Wormgoor\31d7acd1,nl NED,DF,Columbus Crew,32,1988,14.3,0,5,0,0,0.35,0,0,,9.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
728,Bradley Wright-Phillips\9bb42ab8,eng ENG,FW,Columbus Crew,35,1985,7.3,1,13,3,23.1,1.78,0.41,0.08,0.33,11.7,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
729,William Yarbrough\ec646e88,us USA,GK,Colorado Rapids,31,1989,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
730,Dru Yearwood\2eb09121,eng ENG,MF,NY Red Bulls,20,2000,18.8,1,21,6,28.6,1.12,0.32,0.05,0.17,24,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
731,Griffin Yow\ddd5cf39,us USA,DFFW,D.C. United,18,2002,2.7,1,6,2,33.3,2.25,0.75,0.17,0.5,19.6,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
732,Jackson Yueill\7dce16bf,us USA,MF,San Jose,23,1997,28.4,3,26,10,38.5,0.92,0.35,0.12,0.3,18.6,1,0,0,3.5,3.5,0.13,-0.5,-0.5,Matches
733,Renzo Zambrano\526bf96c,ve VEN,MF,Portland Timbers,26,1994,6.6,0,4,0,0,0.61,0,0,,32.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
734,Gyasi Zardes\09ae7f92,us USA,FW,Columbus Crew,29,1991,17.3,9,35,16,45.7,2.02,0.92,0.26,0.56,11.9,0,0,0,6.5,6.5,0.19,+2.5,+2.5,Matches
735,Eriq Zavaleta\edbfbb3f,sv SLV,DF,Toronto FC,28,1992,11.3,0,1,0,0,0.09,0,0,,13,0,0,0,0,0,0.02,0,0,Matches
736,Gedion Zelalem\b15ac68f,us USA,MF,NYCFC,24,1997,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
737,Lucas Zelarayán\3ce30893,am ARM,MF,Columbus Crew,28,1992,29.1,12,93,34,36.6,3.19,1.17,0.12,0.32,23.3,30,1,1,6.5,5.7,0.06,+5.5,+5.3,Matches
738,Walker Zimmerman\220fa883,us USA,DF,Nashville,27,1993,22.7,3,28,10,35.7,1.23,0.44,0.11,0.3,9.5,0,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches
739,Rida Zouhir\e1e65f24,ca CAN,MF,CF Montréal,17,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
740,Ethan Zubak\9f39b6cf,us USA,FWMF,LA Galaxy,22,1998,7.5,1,14,4,28.6,1.88,0.54,0.07,0.25,17,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
741,Dario Župarić\c6f99e42,ba BIH,DF,Portland Timbers,28,1992,30,0,7,1,14.3,0.23,0.03,0,0,12.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
742,Graham Zusi\9ba42447,us USA,DF,Sporting KC,34,1986,23.6,0,20,3,15,0.85,0.13,0,0,28.4,1,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
743,Guðmundur Þórarinsson\ded30989,is ISL,DF,NYCFC,28,1992,18.3,2,16,7,43.8,0.87,0.38,0.13,0.29,21.4,5,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches